feature,importance
clearsky_ghi,114149091269.0
solar_zenith,73142771931.0
solar_elevation,48189753354.0
cos_zenith,23190357807.0
relativehumidity,19652860977.0
station,16394716328.0
temperature_degrees_Celsius,7594907435.0
day_of_year,3432136320.0
elevation,2556477112.0
longitude,2422359492.0
day_of_year_sin,1469876659.0
hour,1152720914.0
precipitation_mm,1054192405.0
day,918711484.0
day_of_year_cos,878889433.0
latitude,858066414.0
clearsky_dhi,855910686.0
hour_sin,651830457.0
clearsky_dni,582422602.0
month,427567250.0
year,317157164.0
day_of_week,277112408.0
hour_cos,109084950.0
month_sin,57045935.0
installation_height,56620706.0
minute,14192238.0
month_cos,13135527.0
is_daylight,0.0
