station,n,mbe,rmse,combined
TA00078,16658.0,-4.810177955307829,123.07455188654227,63.942364920925044
TA00109,16712.0,3.1831688488162198,98.86509997952041,51.024134414168316
TA00117,15194.0,5.210873203091098,100.46776122786036,52.83931721547573
TA00118,11713.0,3.351561128155089,94.01632743974152,48.6839442839483
TA00119,16460.0,3.167869244731356,98.98607768383451,51.07697346428293
TA00121,16004.0,-0.17251653715053802,94.62149714762286,47.3970068423867
TA00122,16257.0,-7.511052630457104,127.11045708427085,67.31075485736397
TA00123,16223.0,-3.4096924452782678,146.9508665831906,75.18027951423443
TA00134,15208.0,0.2856079686244706,113.04211803158971,56.66386300010709
TA00325,17344.0,-3.7050159524708346,106.90833781589397,55.3066768841824
TA00328,17013.0,-6.111910285652498,87.24645690811155,46.67918359688203
TA00330,17437.0,-6.663138753896417,114.92564684661843,60.79439280025743
TA00331,17094.0,-7.254674952949852,116.49095304446799,61.87281399870892
TA00333,17109.0,-5.308440209377799,84.94712745912665,45.12778383425222
TA00334,16559.0,-4.47429970275804,86.10798175451865,45.29114072863835
TA00335,16643.0,-2.6264542916290274,79.48140419139037,41.0539292415097
TA00336,16739.0,-2.3364280822007344,87.34315661330714,44.83979234775394
TA00337,16833.0,-2.8996998828760043,86.20782034319588,44.55376011303594
TA00338,16939.0,4.396799860217446,135.18395463898185,69.79037724959964
TA00342,15791.0,-1.0018901356686594,88.70731057291727,44.85460035429296
TA00343,16237.0,-1.5216265788736945,81.61841781683663,41.57002219785516
TA00344,16155.0,-5.865716754855183,88.26219766126857,47.06395720806188
TA00346,16076.0,-4.784155242823914,93.44638919099529,49.1152722169096
TA00348,15995.0,-21.77807393606639,112.54863170492065,67.16335282049351
TA00349,15807.0,-0.8712180933142718,96.47005621182424,48.670637152569256
TA00350,15407.0,-1.4628330620357897,82.46194193433612,41.962387498185954
TA00353,15492.0,-1.5840365073277878,110.05523721879864,55.81963686306321
TA00354,15648.0,0.9725117442416049,86.54705813990543,43.759784942073516
TA00355,16171.0,-2.923010553792718,69.11091009682023,36.01696032530648
TA00358,15614.0,6.713951292774013,110.15748038441944,58.43571583859673
TA00359,15517.0,4.246895527175437,98.7800131716359,51.51345434940567
TA00360,16000.0,-1.3508622806842905,103.7031016638524,52.526981972268345
TA00361,15102.0,-0.42230641484437426,104.72006491975189,52.57118566729813
TA00365,14995.0,-0.6056019739884164,88.3567986231895,44.48120029858896
TA00374,15400.0,2.58528616341605,92.07353948060882,47.32941282201243
TA00375,15313.0,-3.3416916908529526,100.4752461274662,51.90846890915958
TA00587,17416.0,0.00045766372592554187,92.18771500850066,46.09408633611329
TA00692,16620.0,5.132055357227575,88.30718667971071,46.71962101846914
TA00696,15196.0,3.7067488005347293,87.86450407066556,45.78562643560014
TA00697,16084.0,3.3179213384171455,108.87921677002515,56.09856905422115
